age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
69,Male,Other,0,1,F,0,0,0,0,Low
34,Male,African-American,0,1,F,1,1,1,10,Low
24,Male,African-American,4,1,F,1,0,1,1,Low
23,Male,African-American,1,1,F,0,0,0,0,High
43,Male,Other,2,1,F,0,0,0,0,Low
44,Male,Other,0,0,M,0,0,0,1,Low
41,Male,Caucasian,14,1,F,1,0,1,6,Medium
43,Male,Other,3,1,F,0,0,0,0,Low
39,Female,Caucasian,0,1,M,0,0,0,2,Low
21,Male,Caucasian,1,428,F,1,1,1,0,Low
27,Male,Caucasian,0,1,F,0,0,0,1,Low
23,Male,African-American,3,0,M,1,0,1,4,Medium
37,Female,Caucasian,0,0,M,0,0,0,0,Low
41,Male,African-American,0,1,F,0,0,0,0,Low
47,Female,Caucasian,1,20,F,1,0,1,14,Low
31,Male,African-American,7,22,F,1,0,1,3,Low
37,Male,Hispanic,0,0,M,0,0,0,0,Low
25,Male,African-American,3,1,F,0,0,0,1,High
31,Male,Caucasian,6,1,F,1,1,1,1,Medium
31,Male,Caucasian,5,1,F,1,0,1,1,Low
64,Male,African-American,13,1,F,1,0,1,1,Medium
21,Male,African-American,1,1,F,1,0,1,3,High
27,Male,Caucasian,0,0,M,1,0,1,0,Low
21,Female,Caucasian,0,2,F,0,0,0,1,Low
24,Male,Hispanic,1,0,F,1,0,1,0,Low
43,Male,Caucasian,1,1,M,0,0,0,1,Low
32,Male,Other,0,1,M,0,0,0,1,Low
27,Male,African-American,8,1,F,1,1,1,17,Low
36,Female,Caucasian,3,53,F,0,0,0,0,Low
26,Male,African-American,5,1,F,1,0,1,0,Medium
33,Male,African-American,0,0,F,1,1,1,37,High
30,Male,Caucasian,9,0,F,1,0,1,44,High
32,Male,African-American,4,1,F,1,0,1,1,High
55,Male,Caucasian,0,1,F,0,0,0,2,Low
49,Male,Other,7,1,F,1,0,1,3,Low
26,Male,Caucasian,6,81,M,0,0,0,12,High
33,Female,Caucasian,4,1,M,1,0,1,11,Medium
24,Male,Caucasian,1,0,M,1,0,1,1,Low
34,Male,African-American,21,0,F,1,0,1,33,High
29,Male,Caucasian,0,0,M,0,0,0,1,Low
21,Female,African-American,2,1,F,0,0,0,79,High
51,Male,African-American,2,1,M,0,0,0,1,Low
29,Male,Caucasian,2,1,M,1,0,1,0,Low
51,Female,African-American,7,1,F,0,0,0,1,Low
29,Male,African-American,0,0,F,1,0,1,0,Medium
25,Male,Caucasian,9,1,M,1,1,1,6,High
35,Male,African-American,13,1,F,1,1,1,0,High
49,Male,Caucasian,0,0,M,0,0,0,0,Low
34,Male,African-American,4,59,M,1,0,1,51,Low
29,Male,African-American,0,0,F,0,0,0,0,Low
29,Male,Caucasian,1,24,F,1,0,1,0,Low
28,Female,Other,0,1,F,0,0,0,0,Low
48,Male,Caucasian,20,302,F,1,0,1,10,Medium
63,Female,Hispanic,1,219,F,0,0,0,8,Low
31,Male,African-American,15,1,F,1,0,0,135,Medium
24,Male,African-American,2,1,F,1,0,1,1,Low
30,Male,Hispanic,0,0,M,0,0,0,23,Medium
49,Male,African-American,4,1,M,0,0,0,0,Low
53,Male,Caucasian,8,13,F,0,0,0,13,Medium
35,Male,African-American,5,1,F,0,0,0,0,Low
63,Male,African-American,10,38,M,1,0,1,35,Medium
27,Male,African-American,15,1,F,1,0,1,1,High
38,Male,Caucasian,4,1,M,1,0,1,1,Low
22,Male,African-American,1,1,F,1,0,1,1,Low
22,Male,African-American,2,70,F,1,0,1,124,High
29,Male,African-American,4,1,F,1,0,1,18,High
62,Male,Hispanic,0,0,M,0,0,0,1,Low
27,Male,African-American,6,0,F,1,0,1,30,Medium
33,Male,Other,0,1,M,0,0,0,1,Low
56,Female,African-American,0,0,M,0,0,0,3,Low
45,Male,Hispanic,6,1,F,1,1,1,241,Low
22,Male,Hispanic,1,1,F,0,0,0,1,Low
39,Male,African-American,1,1,M,0,0,0,4,Low
29,Male,African-American,5,0,F,1,0,1,1,Medium
