Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime
1,1.0,0.5908385155770222,0.25,1.0,0.0,0.0,2868.0860742030018
2,1.0,1.026518736915268,0.25,1.0,0.5499115864635147,0.014563106796116505,2868.0860742030018
3,1.0,0.9974081387209405,0.3055555555555555,1.0,0.7243771692605941,0.023732470334412083,2868.0860742030018
4,1.0,1.2407893673510084,0.2916666666666667,1.0,0.9158379131173036,0.02669902912621359,2868.0860742030018
5,1.0,1.159315860747929,0.31666666666666665,1.0,0.9387799535448558,0.0341747572815534,2868.0860742030018
6,1.0,1.2281209289581165,0.3333333333333333,1.0,0.9238639017866732,0.0372168284789644,2868.0860742030018
7,1.0,1.3014370223541885,0.3452380952380953,1.0,0.9055200681723549,0.03962750148603131,2868.0860742030018
8,0.875,1.3014370223541885,0.3452380952380953,0.875,0.9055200681723549,0.03962750148603131,2868.0860742030018
9,0.7777777777777778,1.3014370223541885,0.3452380952380953,0.7777777777777778,0.9055200681723549,0.03962750148603131,2868.0860742030018
10,0.7,1.3014370223541885,0.3452380952380953,0.7,0.9055200681723549,0.03962750148603131,2868.0860742030018
11,0.6363636363636364,1.3014370223541885,0.3452380952380953,0.6363636363636364,0.9055200681723549,0.03962750148603131,2868.0860742030018
12,0.5833333333333334,1.3014370223541885,0.3452380952380953,0.5833333333333334,0.9055200681723549,0.03962750148603131,2868.0860742030018
13,0.5384615384615384,1.3014370223541885,0.3452380952380953,0.5384615384615384,0.9055200681723549,0.03962750148603131,2868.0860742030018
14,0.5,1.3014370223541885,0.3452380952380953,0.5,0.9055200681723549,0.03962750148603131,2868.0860742030018
15,0.4666666666666667,1.3014370223541885,0.3452380952380953,0.4666666666666667,0.9055200681723549,0.03962750148603131,2868.0860742030018
16,0.4375,1.3014370223541885,0.3452380952380953,0.4375,0.9055200681723549,0.03962750148603131,2868.0860742030018
17,0.4117647058823529,1.3014370223541885,0.3452380952380953,0.4117647058823529,0.9055200681723549,0.03962750148603131,2868.0860742030018
18,0.3888888888888889,1.3014370223541885,0.3452380952380953,0.3888888888888889,0.9055200681723549,0.03962750148603131,2868.0860742030018
19,0.3684210526315789,1.3014370223541885,0.3452380952380953,0.3684210526315789,0.9055200681723549,0.03962750148603131,2868.0860742030018
20,0.35,1.3014370223541885,0.3452380952380953,0.35,0.9055200681723549,0.03962750148603131,2868.0860742030018
