Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Alignment,Runtime (in seconds)
1,1.0,5.174562932660068,0.4782608695652174,1.0,0.0,0.0,0.005217391304347831,3379.8059805440025
2,1.0,4.5419659347929455,0.45652173913043476,1.0,2.9674328003496413,0.32608695652173914,0.30347826086956514,3379.8059805440025
3,1.0,5.076336991730823,0.46376811594202894,1.0,3.8084861609345513,0.3961352657004831,0.3673913043478261,3379.8059805440025
4,1.0,6.138745007769743,0.4673913043478261,1.0,6.138806490476004,0.483695652173913,0.553913043478261,3379.8059805440025
5,1.0,6.670612432892197,0.4608695652173913,1.0,7.303373270913739,0.5252173913043479,0.6521739130434782,3379.8059805440025
6,1.0,6.891158792654007,0.45652173913043476,1.0,7.631508451613992,0.5410628019323671,0.7191304347826086,3379.8059805440025
7,1.0,6.647686526970302,0.45962732919254656,1.0,7.410318799504399,0.5607808340727596,0.782608695652174,3379.8059805440025
8,1.0,7.5408783134908575,0.46195652173913043,1.0,8.347681519655419,0.5815217391304348,0.801304347826087,3379.8059805440025
9,1.0,7.96179661041226,0.46376811594202894,1.0,8.64281563565281,0.5754159957058508,0.8269565217391304,3379.8059805440025
10,1.0,8.474617848386519,0.4652173913043478,1.0,9.014228426228355,0.5808695652173913,0.8578260869565216,3379.8059805440025
11,1.0,8.777139408542014,0.46640316205533594,1.0,9.46149375462297,0.5835429392741646,0.8626086956521738,3379.8059805440025
12,1.0,9.233672963079513,0.4782608695652174,1.0,9.799922286114727,0.6008454106280193,0.8708695652173912,3379.8059805440025
13,1.0,9.347331481048766,0.48829431438127086,1.0,9.785712740345172,0.6138410084898379,0.8730434782608695,3379.8059805440025
14,1.0,9.820621242255209,0.5031055900621118,1.0,10.141286232784324,0.6317657497781721,0.888695652173913,3379.8059805440025
15,1.0,9.779558495514964,0.5072463768115941,1.0,10.15882982983828,0.6423188405797101,0.888695652173913,3379.8059805440025
16,1.0,9.798885060789793,0.5190217391304348,1.0,10.135979029712383,0.6535326086956522,0.888695652173913,3379.8059805440025
17,1.0,9.88637615424831,0.5217391304347826,1.0,10.13770515000864,0.6571385587483075,0.888695652173913,3379.8059805440025
18,1.0,9.915947816377022,0.5289855072463768,1.0,10.173033711275023,0.666129898013956,0.888695652173913,3379.8059805440025
19,1.0,10.067828945410872,0.5308924485125859,1.0,10.290390134358038,0.6713236179694086,0.9004347826086957,3379.8059805440025
20,1.0,10.264598455674665,0.5413043478260869,1.0,10.402809750433214,0.6826086956521739,0.9004347826086957,3379.8059805440025
