ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
-9.0,-7.7,-9.0,-9.0,78.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.8,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,572.0,-9.0,-5.1,-4.8,-9.0,-9.0,-9.0,-9.0,-1.1,-8.7,-9.0,-9.0,-9.0,-8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.744
-9.0,338.1,-9.0,-9.0,62.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,295.0,-9.0,25.9,-9.0,-9.0,-9.0,-9.0,-9.0,-8.8,8.0,-4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.739
-9.0,803.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.779
-9.0,493.7,-9.0,109.1,-8.6,-9.0,-9.0,2.6,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.744
-9.0,-7.6,-9.0,213.7,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-4.4,-9.0,-9.0,-9.0,2.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.732
-9.0,453.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-2.0,-9.0,-9.0,-9.0,-0.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.749
-9.0,263.6,-9.0,14.3,23.4,-9.0,-9.0,-9.0,-9.0,-7.8,-9.0,-9.0,-9.0,-9.0,6.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.741
-9.0,123.3,-9.0,337.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.732
-9.0,179.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,23.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.729
-9.0,59.0,-9.0,134.7,26.3,-9.0,-9.0,-9.0,-9.0,-9.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.736
