age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,9823,0,44,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,13868,0,47,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,13868,0,58,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,16500,0,70,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,16500,0,21,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,11776,0,1,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,11776,0,1,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,18398,300,63,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,13868,0,1,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,16500,0,4,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,16500,0,1,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,19600,0,5,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Priv-house-serv,Not-in-family,Black,Male,13868,0,52,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,16500,0,48,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,16500,0,47,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,11776,0,68,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,13868,0,38,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,16500,0,45,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,23968,0,1,United-States,>50K
