account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,default
< 0 DM,18,existing credits paid back duly till now,domestic appliances,2462,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,250,... < 100 DM,.. >= 7 years,2,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,yes,1
< 0 DM,24,existing credits paid back duly till now,domestic appliances,3021,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,35,none,own,1,unskilled - resident,1,none,yes,1
0 <= ... < 200 DM,30,existing credits paid back duly till now,domestic appliances,2625,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,1,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes,1
< 0 DM,36,existing credits paid back duly till now,domestic appliances,3620,... < 100 DM,1 <= ... < 4 years,1,male : single,guarantor,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,yes,1
< 0 DM,36,existing credits paid back duly till now,domestic appliances,2712,... < 100 DM,.. >= 7 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,35,bank,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1437,... < 100 DM,1 <= ... < 4 years,2,male : single,none,3,unknown / no property,35,bank,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,1928,... < 100 DM,... < 1 year ,2,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,250,... < 100 DM,... < 1 year ,3,male : single,none,2,real estate,35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
0 <= ... < 200 DM,30,existing credits paid back duly till now,domestic appliances,250,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,guarantor,1,unknown / no property,35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
< 0 DM,12,existing credits paid back duly till now,domestic appliances,1344,.. >= 1000 DM ,unemployed,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes,1
