Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime (in seconds)
1,1.0,0.5966999540863183,0.25,1.0,0.0,0.0,12.759967582000172
2,1.0,1.0075342806630536,0.20833333333333334,1.0,0.8641745970662176,0.014563106796116505,12.010217874999398
3,1.0,1.3575018971608435,0.3611111111111111,0.6666666666666666,1.5744842441537346,0.036677454153182305,18.891373366000156
4,1.0,2.02296485413201,0.3125,1.0,2.5046863558769856,0.03640776699029126,25.12502436700015
5,1.0,2.5017522600845816,0.43333333333333335,0.8,3.1199623128462655,0.04970873786407767,31.9543143410001
6,1.0,2.5537811026354045,0.375,0.8333333333333334,3.2590412913139652,0.04800431499460626,39.58636953200039
7,1.0,2.5573747996187137,0.4047619047619047,0.8571428571428571,3.2730567332237626,0.04755300178323757,48.71907990299951
8,1.0,2.603111185683135,0.4583333333333333,0.75,3.2241966808872595,0.05279126213592233,64.33853023100073
9,1.0,2.61573493650455,0.49074074074074076,0.7777777777777778,3.2243125209539993,0.055855207958767826,68.52885121899999
10,1.0,2.6153487441899186,0.4583333333333333,0.9,3.2372495794172784,0.05398058252427185,81.69212484899981
11,1.0,3.062636358238109,0.46212121212121215,0.7272727272727273,3.540792768763692,0.05359865200994945,110.99993848299982
12,1.0,2.983793024827628,0.46527777777777773,0.8333333333333334,3.5243873451131162,0.05285868392664509,110.6826737729998
13,1.0,2.7280947666040527,0.4935897435897436,0.7692307692307693,3.371800024775636,0.055035330614120755,137.98924843700024
14,1.0,2.67724230699361,0.4702380952380953,0.8571428571428571,3.3066839288470016,0.054487814543293045,141.09239319399967
15,1.0,2.6587793368291783,0.48333333333333334,0.8,3.3001150608475744,0.05574973031283711,157.50689854200027
16,1.0,0.25824068280713797,0.25,1.0,0.076397506549962,0.02669902912621359,155.13130880599965
17,1.0,0.23426722739517153,0.23529411764705885,1.0,0.06770758494424726,0.026875398931702894,174.91552452200085
18,1.0,0.24666587379831556,0.25,1.0,0.09424252742935547,0.02696871628910464,186.8951575840001
19,1.0,0.24796287363156355,0.24561403508771928,1.0,0.08901002043146956,0.026840222682408627,192.43389508200016
20,1.0,0.23760733320143124,0.24583333333333335,1.0,0.08758159834180987,0.02703883495145631,212.6322185220015
