num_required_cfs,Size,Dissimilarity_distance,Dissimilarity_count,Actionability,Diversity_distance,Diversity_count
1,1.0,25711.558333333334,0.25,1.0,0.0,0.0
2,1.0,17583.654166666667,0.20833333333333334,1.0,3247.8291666666664,0.125
3,1.0,17927.5,0.3055555555555555,1.0,3267.118518518518,0.24074074074074073
4,1.0,17379.329166666666,0.2708333333333333,1.0,4626.141666666666,0.25
5,1.0,17965.051666666666,0.3333333333333333,1.0,4666.492666666667,0.31333333333333335
6,1.0,17122.570833333335,0.2916666666666667,1.0,6682.68287037037,0.30092592592592593
7,1.0,18102.013095238097,0.30952380952380953,1.0,7900.090476190477,0.29931972789115646
8,1.0,19908.63333333333,0.34375,1.0,6702.789583333333,0.3255208333333333
9,1.0,20141.095370370367,0.3611111111111111,1.0,5639.024074074074,0.345679012345679
10,1.0,19849.0225,0.3416666666666666,1.0,6579.834999999999,0.33166666666666667
11,1.0,19601.07424242424,0.3409090909090909,1.0,6697.485261707988,0.32644628099173556
12,1.0,19743.719444444443,0.34722222222222227,1.0,7124.541550925926,0.32175925925925924
13,1.0,18806.839743589742,0.358974358974359,1.0,8115.749013806707,0.3333333333333333
14,1.0,19383.645238095243,0.3452380952380953,1.0,7469.498979591837,0.3324829931972789
15,1.0,19451.17222222222,0.35000000000000003,1.0,7331.720666666667,0.3385185185185185
16,1.0,15945.718229166667,0.25,1.0,1044.9539713541667,0.22916666666666666
17,1.0,15702.167647058823,0.23529411764705885,1.0,1187.623298731257,0.2306805074971165
18,1.0,15462.028703703703,0.25,1.0,1280.2443415637865,0.23148148148148148
19,1.0,15595.139473684212,0.24561403508771928,1.0,1290.3311172668514,0.23037857802400738
20,1.0,15399.572499999998,0.24583333333333335,1.0,1316.9601666666667,0.23208333333333334
