Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime
1,1.0,0.452832674571805,0.043478260869565216,1.0,0.0,0.0,50.78695593199882
2,1.0,0.508215697346132,0.21739130434782608,1.0,0.15860389610389605,0.13043478260869565,22.113168322001
3,1.0,0.5315538929669364,0.14492753623188406,1.0,0.29055461446765796,0.13526570048309178,20.54927513499933
4,1.0,0.5647991953698475,0.14130434782608695,1.0,0.4310626646903821,0.14130434782608695,35.35903789800068
5,1.0,0.592829851308112,0.19130434782608696,1.0,0.5253867871259176,0.18434782608695652,52.635142164999706
6,1.0,0.6109040717736369,0.14492753623188406,1.0,0.6013632703850095,0.16666666666666666,51.371669094001845
7,1.0,0.6396345890134709,0.15527950310559008,1.0,0.6860096720788823,0.17391304347826086,93.40706536300058
8,1.0,0.6586885940146809,0.1793478260869565,1.0,0.7461602143327686,0.21195652173913043,133.65097401399908
9,1.0,0.6788537549407114,0.1642512077294686,1.0,0.8129454192256125,0.19860440150295222,82.864292809998
10,1.0,0.7040593042223476,0.18695652173913044,1.0,0.8886876999811782,0.22695652173913045,128.9438691889991
11,1.0,0.7235868709682939,0.16205533596837943,1.0,0.9286071276908503,0.2026590010779734,106.5209228499989
12,1.0,0.7323353226885835,0.16304347826086957,1.0,0.9503558597535046,0.20591787439613526,96.79601873199864
13,1.0,0.7453239996718258,0.1839464882943144,1.0,0.9927413166543602,0.23257010547980447,119.28468521899777
14,1.0,0.7795979986197378,0.17701863354037267,1.0,1.027872206665463,0.2329192546583851,172.49554864999664
15,1.0,0.7757993496036975,0.16231884057971016,1.0,1.054733351457989,0.22183574879227053,144.30711595799949
16,1.0,0.7858379505458308,0.16576086956521738,1.0,1.0758665422175953,0.22214673913043478,195.18686266499932
17,1.0,0.8161322763624553,0.16368286445012786,1.0,1.1029021435746273,0.22024973672333384,228.35461032799867
18,1.0,0.83242287436128,0.17149758454106281,1.0,1.1551536519632333,0.23510466988727857,192.29653071999928
19,1.0,0.8402573049884262,0.16704805491990846,1.0,1.1563018217480459,0.22979645911116464,239.65230379900092
20,1.0,0.8511915741263568,0.16521739130434782,1.0,1.179649217328565,0.22869565217391305,211.1085010989991
