duration_in_month,credit_amount,installment_as_income_perc,present_res_since,age,credits_this_bank,people_under_maintenance,account_check_status,credit_history,purpose,savings,present_emp_since,personal_status_sex,other_debtors,property,other_installment_plans,housing,job,telephone,foreign_worker,default
4.0,250.0,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.548
54.4,3109.3,2.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.548
4.0,15945.0,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.563
28.7,250.0,1.0,3.1,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.542
60.0,1405.8,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.554
4.0,8752.5,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.564
4.0,250.0,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.535
12.6,2733.5,4.0,1.8,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : married/widowed,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.529
42.4,7496.7,1.0,2.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.558
33.1,15945.0,1.6,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,skilled employee / official,none,yes,0.545
19.8,5931.3,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,management/ self-employed/ highly qualified employee/ officer,none,yes,0.527
4.0,12620.5,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.548
10.2,15945.0,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,female : divorced/separated/married,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,unemployed/ unskilled - non-resident,none,yes,0.542
60.0,15945.0,4.0,1.2,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.565
60.0,11009.1,2.6,2.5,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",stores,own,unemployed/ unskilled - non-resident,none,yes,0.548
