Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime (in seconds)
1,1.0,4.217978997971793,0.3333333333333333,1.0,0.0,0.0,0.2794917229985003
2,1.0,2.47539448793248,0.4583333333333333,1.0,2.432823153128223,0.03398058252427184,0.3063471850000496
3,1.0,2.3886262020333673,0.3055555555555555,1.0,3.1553064589415367,0.036677454153182305,0.3727978290007741
4,1.0,3.0984318365910894,0.4166666666666667,0.75,3.0615530303030267,0.03519417475728155,0.4628399460016226
5,1.0,0.05923422870592343,0.4166666666666667,1.0,0.02909090909090909,0.02796116504854369,0.4509276749995479
6,1.0,1.0661931619316183,0.47222222222222227,0.6666666666666666,1.3020544094329818,0.03290183387270766,0.5054200119993766
7,1.0,0.6513569932039341,0.4285714285714286,1.0,0.7330674478949202,0.04398652664949475,0.5884377450020111
8,1.0,1.1508475312025832,0.34375,1.0,1.6260060896063488,0.03033980582524272,0.6240244559994608
9,1.0,1.1879770060326853,0.3888888888888889,0.8888888888888888,1.6151169031331145,0.04051300491429941,0.6926511000019673
10,1.0,0.9190160310694007,0.3833333333333333,0.8,1.2979292929292916,0.02854368932038835,0.6947732189983071
11,1.0,1.9350369330139559,0.3863636363636364,0.8181818181818182,2.8598895004727622,0.03835352643825724,0.7469082740026352
12,1.0,0.8550896907040685,0.4305555555555556,0.9166666666666666,1.1794245215179413,0.04031823085221144,0.7870814449997852
13,1.0,0.10571782291249503,0.4358974358974359,0.9230769230769231,0.07895185998659364,0.02895386913310737,0.8867511199969158
14,1.0,0.10014764108680052,0.3869047619047619,0.9285714285714286,0.09132313725734661,0.028432732316227463,0.8714446749982017
15,1.0,0.5767928739893454,0.3,0.9333333333333333,0.8649553485433833,0.03719525350593312,1.4671483239981171
16,1.0,1.1265251963599168,0.375,0.875,1.6903020329999896,0.047936893203883495,0.9884768209994944
17,1.0,0.67495495810573,0.4264705882352941,0.9411764705882353,1.0637965266094926,0.04407565424799274,1.0470778979979514
18,1.0,0.9996977873819127,0.41203703703703703,1.0,1.3893466614239636,0.041531823085221145,1.2835427789977985
19,1.0,0.41293363890576673,0.4166666666666667,0.8947368421052632,0.5738554565097395,0.04803270311701584,1.393532176000008
20,1.0,1.5516800545071552,0.37916666666666665,0.9,1.9223105083840073,0.037524271844660194,1.320916317999945
