age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,13,264,M,0,0,0,340,Medium
45,Female,Other,29,259,M,0,0,0,244,Medium
45,Female,Other,19,141,M,0,0,0,545,Medium
45,Female,Other,19,104,F,0,0,0,282,Medium
45,Female,Other,12,224,F,0,0,0,679,Medium
45,Female,Other,34,914,M,0,0,0,409,Medium
45,Female,Other,12,950,F,0,0,0,322,Medium
45,Female,Other,15,54,M,0,1,0,372,Medium
45,Female,Other,5,294,M,0,0,1,419,Medium
45,Female,Other,30,490,M,1,0,0,33,Medium
